ISO2 Code,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
AF,15190.0,15190.0,15190.0,17273.0,17273.0,15180.0,19223.0,19515.0,19757.0,18119.0,17500.0,19048.0,20000.0,20000.0,20714.0,21333.0,19048.0,20381.0,21311.0,21728.0,22414.0,21994.0,22581.0,22416.0,22482.0,22400.0,20000.0,19056.0,18824.0,19029.0,19364.0,17143.0,17143.0,19000.0,22941.0,19429.0,22222.0,25000.0,20000.0,20000.0,20000.0,28741.0,29931.0,23744.0,30313.0,33750.0,32471.0,32211.0,32250.0,32308.0,32000.0,24390.0,24980.0,24409.0,25000.0,29963.0,30919.0,29963.0,29993.0,29789.0,30071.0
AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7292.0,9461.0,10059.0,19890.0,36917.0,46082.0,48046.0,44415.0,50191.0,48495.0,46532.0,47042.0,39810.0,35903.0,42375.0,33886.0,27973.0,25279.0,23963.0,20947.0,22249.0,22808.0,24646.0,23696.0,21538.0,31189.0,29684.0,27613.0,31314.0,32960.0
BD,17005.0,15302.0,17690.0,17070.0,16827.0,15827.0,16944.0,17466.0,17459.0,16862.0,16022.0,15716.0,18083.0,17289.0,18531.0,17839.0,19398.0,19385.0,18809.0,20197.0,19545.0,20145.0,22345.0,21454.0,21693.0,21783.0,22399.0,22805.0,25562.0,25661.0,26592.0,26893.0,27185.0,25328.0,26527.0,27629.0,27431.0,29358.0,32139.0,34836.0,34020.0,34902.0,35768.0,35359.0,37814.0,38541.0,40833.0,41441.0,42404.0,43422.0,43917.0,44206.0,45317.0,45382.0,45518.0,45863.0,46619.0,47257.0,47402.0,48088.0,48667.0
BT,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20500.0,20172.0,20000.0,21560.0,19375.0,18000.0,17568.0,16574.0,16538.0,20976.0,12085.0,13133.0,14392.0,16071.0,16667.0,16508.0,17223.0,17973.0,18629.0,17038.0,17391.0,19987.0,22871.0,28816.0,26896.0,27461.0,27043.0,39983.0,27993.0,31400.0,32382.0,36893.0,36985.0,37635.0,40192.0,38796.0,40745.0,42362.0,40698.0,42644.0,41593.0
BN,17306.0,18527.0,13711.0,13235.0,11737.0,13922.0,15871.0,15868.0,18581.0,19621.0,16024.0,16175.0,24251.0,29040.0,27178.0,19647.0,15034.0,15917.0,21759.0,13797.0,13643.0,14825.0,15797.0,15571.0,12394.0,21359.0,10630.0,21685.0,22286.0,15500.0,16000.0,12333.0,22571.0,16702.0,16387.0,16519.0,12497.0,10707.0,5263.0,6500.0,7292.0,7294.0,7928.0,8190.0,8728.0,8091.0,7255.0,7008.0,5147.0,5801.0,9227.0,9772.0,9664.0,14542.0,21460.0,15584.0,16604.0,20040.0,19410.0,29442.0,28852.0
KH,10921.0,8920.0,11742.0,11611.0,10666.0,10889.0,12163.0,13989.0,12876.0,15898.0,14532.0,13774.0,12947.0,11441.0,12000.0,11000.0,10000.0,10000.0,6951.0,11924.0,11314.0,12068.0,12649.0,12883.0,12497.0,13770.0,13248.0,13699.0,14358.0,13477.0,13962.0,13178.0,13069.0,14877.0,17920.0,18116.0,17706.0,17884.0,19433.0,21155.0,20699.0,19164.0,21012.0,19773.0,24793.0,24893.0,26216.0,27457.0,28363.0,29697.0,29574.0,30892.0,31691.0,32611.0,33350.0,34443.0,33974.0,34011.0,33353.0,33851.0,35075.0
HK,20168.0,17201.0,18408.0,13962.0,24362.0,17563.0,19331.0,17787.0,23654.0,23669.0,22888.0,20568.0,22265.0,16159.0,17924.0,18863.0,18827.0,18817.0,15152.0,21212.0,15000.0,15385.0,13333.0,21818.0,25000.0,22000.0,12500.0,30000.0,30000.0,20000.0,,,,,,,19226.0,19245.0,19292.0,19233.0,19058.0,19899.0,19898.0,19898.0,19899.0,,19854.0,19752.0,20004.0,20004.0,20004.0,20004.0,20004.0,20306.0,20794.0,20957.0,21011.0,21188.0,20377.0,20490.0,20604.0
CN,20434.0,23408.0,26642.0,28062.0,29441.0,31277.0,30811.0,31653.0,31269.0,34025.0,33026.0,32288.0,34727.0,34926.0,35178.0,34771.0,36226.0,39781.0,42481.0,41338.0,43280.0,48913.0,50961.0,53726.0,52563.0,53376.0,54130.0,52868.0,55085.0,57261.0,56402.0,58031.0,58479.0,58311.0,60248.0,62122.0,63192.0,63662.0,63447.0,62716.0,61634.0,61889.0,60607.0,63107.0,62601.0,62796.0,64329.0,65625.0,65853.0,65530.0,66873.0,67769.0,67173.0,68132.0,68913.0,68657.0,69169.0,70266.0,70601.0,70432.0,71135.0
TW,32663.0,33723.0,33583.0,37244.0,38454.0,38086.0,38647.0,40166.0,37126.0,39944.0,38744.0,41429.0,39310.0,39931.0,40085.0,43536.0,43095.0,41120.0,42964.0,46537.0,45044.0,47641.0,48706.0,48419.0,48784.0,46966.0,47907.0,49503.0,49537.0,50272.0,53909.0,52118.0,57119.0,56348.0,57004.0,55524.0,56064.0,51975.0,54271.0,56127.0,51984.0,58774.0,60571.0,60486.0,54540.0,59199.0,52417.0,57757.0,61989.0,59501.0,65536.0,65202.0,58835.0,63907.0,62802.0,57983.0,63859.0,71814.0,66325.0,66877.0,69675.0
KP,43071.0,43116.0,46056.0,45335.0,39688.0,42566.0,39536.0,38260.0,44215.0,43915.0,45419.0,43613.0,45588.0,45167.0,45019.0,45295.0,47091.0,45011.0,46365.0,40714.0,45446.0,31406.0,32000.0,34000.0,32760.0,37008.0,34403.0,33008.0,34000.0,30000.0,70068.0,76014.0,81273.0,54494.0,34639.0,24586.0,24992.0,39776.0,40397.0,31589.0,36017.0,37505.0,38425.0,40652.0,44282.0,42484.0,32045.0,50176.0,41054.0,42561.0,43415.0,50817.0,53035.0,50019.0,41831.0,54119.0,50158.0,44277.0,60186.0,44930.0,39976.0
