CITYCODE,CITYNAME,JAPANESE,FOREIGNER
00000,全国,123398962,2747137 
01000,北海道,5188441,36173
01100,札幌市,1959523,13872
01101,札幌市中央区,246027,2653
01102,札幌市北区,286191,3132
01103,札幌市東区,263485,1894
01104,札幌市白石区,210731,1104
01105,札幌市豊平区,223705,1593
01106,札幌市南区,135113,664
01107,札幌市西区,215975,1065
01108,札幌市厚別区,124413,670
01109,札幌市手稲区,142142,483
01110,札幌市清田区,111741,614
01202,函館市,249977,1107
01203,小樽市,110692,607
01204,旭川市,328153,1153
01205,室蘭市,81975,408
01206,釧路市,164204,873
01207,帯広市,165814,722
01208,北見市,115055,425
01209,夕張市,7247,87
01210,岩見沢市,79110,196
01211,網走市,35438,321
01212,留萌市,19979,135
01213,苫小牧市,169361,752
01214,稚内市,33125,438
01215,美唄市,20369,44
01216,芦別市,12538,17
01217,江別市,120370,686
01218,赤平市,9631,67
01219,紋別市,20685,530
01220,士別市,17782,76
01221,名寄市,27232,50
01222,三笠市,8025,15
01223,根室市,24327,309
01224,千歳市,97246,704
01225,滝川市,39380,110
01226,砂川市,16457,29
01227,歌志内市,2979,10
01228,深川市,19929,110
01229,富良野市,20899,232
01230,登別市,46211,180
01231,恵庭市,69885,446
01233,伊達市,32646,180
01234,北広島市,57799,372
01235,石狩市,56418,451
01236,北斗市,44002,300
01303,当別町,15795,121
01304,新篠津村,3036,8
01331,松前町,6218,42
01332,福島町,3758,36
01333,知内町,4104,63
01334,木古内町,3808,24
01337,七飯町,27574,112
01343,鹿部町,3646,114
01345,森町,14022,316
01346,八雲町,15597,229
01347,長万部町,4932,177
01361,江差町,7409,19
01362,上ノ国町,4256,50
01363,厚沢部町,3562,30
01364,乙部町,3386,17
01367,奥尻町,2402,8
01370,今金町,5068,4
01371,せたな町,7368,30
01391,島牧村,1354,2
01392,寿都町,2784,54
01393,黒松内町,2775,16
01394,蘭越町,4530,38
01395,ニセコ町,4827,247
01396,真狩村,2008,37
01397,留寿都村,1798,113
01398,喜茂別町,2093,63
01399,京極町,2888,53
01400,倶知安町,14430,699
01401,共和町,5763,9
01402,岩内町,11601,47
01403,泊村,1566,3
01404,神恵内村,869,1
01405,積丹町,1827,4
01406,古平町,2692,53
01407,仁木町,3113,67
01408,余市町,17875,125
01409,赤井川村,1105,60
01423,南幌町,7273,46
01424,奈井江町,5092,28
01425,上砂川町,2824,17
01427,由仁町,4798,24
01428,長沼町,10263,26
01429,栗山町,11236,36
01430,月形町,3678,13
01431,浦臼町,1724,8
01432,新十津川町,6465,19
01433,妹背牛町,2650,43
01434,秩父別町,2326,3
01436,雨竜町,2380,9
01437,北竜町,1718,6
01438,沼田町,2903,6
01452,鷹栖町,6564,3
01453,東神楽町,10084,43
01454,当麻町,6309,10
01455,比布町,3517,3
01456,愛別町,2565,40
01457,上川町,3452,48
01458,東川町,8048,266
01459,美瑛町,9582,86
01460,上富良野町,10285,63
01461,中富良野町,4699,34
01462,南富良野町,2358,18
01463,占冠村,1161,145
01464,和寒町,3170,22
01465,剣淵町,2925,1
01468,下川町,3100,26
01469,美深町,4110,35
01470,音威子府村,705,1
01471,中川町,1520,8
01472,幌加内町,1368,2
01481,増毛町,3828,80
01482,小平町,2927,67
01483,苫前町,2910,26
01484,羽幌町,6526,22
01485,初山別村,1072,8
01486,遠別町,2460,60
01487,天塩町,2916,34
