CITYCODE,CITYNAME,first,second,third
00000,全国,3.2,23.4,73.4
01000,北海道,6.3,16.9,76.8
01100,札幌市,0.5,14.1,85.4
01101,札幌市中央区,0.3,8.5,91.2
01102,札幌市北区,0.6,16.2,83.3
01103,札幌市東区,0.5,16.6,83.0
01104,札幌市白石区,0.4,16.4,83.2
01105,札幌市豊平区,0.4,11.2,88.4
01106,札幌市南区,0.8,11.4,87.7
01107,札幌市西区,0.4,14.2,85.4
01108,札幌市厚別区,0.6,13.5,85.9
01109,札幌市手稲区,0.5,18.8,80.7
01110,札幌市清田区,0.8,16.0,83.2
01202,函館市,3.0,16.7,80.3
01203,小樽市,1.4,17.2,81.4
01204,旭川市,2.6,17.0,80.4
01205,室蘭市,0.9,26.9,72.2
01206,釧路市,2.2,18.7,79.1
01207,帯広市,5.1,18.0,76.9
01208,北見市,6.6,17.1,76.3
01209,夕張市,16.8,22.1,61.2
01210,岩見沢市,8.0,18.3,73.7
01211,網走市,13.4,15.7,70.9
01212,留萌市,3.3,19.9,76.9
01213,苫小牧市,2.0,26.4,71.6
01214,稚内市,8.6,21.8,69.7
01215,美唄市,13.2,21.3,65.4
01216,芦別市,10.3,27.4,62.4
01217,江別市,2.9,18.0,79.1
01218,赤平市,4.5,26.5,69.0
01219,紋別市,9.8,24.9,65.3
01220,士別市,17.5,18.0,64.4
01221,名寄市,10.2,11.4,78.4
01222,三笠市,7.5,21.2,71.3
01223,根室市,19.9,21.2,58.9
01224,千歳市,3.4,18.7,77.9
01225,滝川市,4.7,17.9,77.5
01226,砂川市,5.1,23.6,71.3
01227,歌志内市,1.8,25.4,72.8
01228,深川市,16.9,12.8,70.4
01229,富良野市,20.4,11.3,68.3
01230,登別市,1.3,24.7,74.0
01231,恵庭市,4.0,21.3,74.7
01233,伊達市,9.7,17.3,73.0
01234,北広島市,2.2,17.6,80.2
01235,石狩市,4.3,24.7,71.0
01236,北斗市,7.9,22.8,69.3
01303,当別町,14.8,17.8,67.4
01304,新篠津村,45.2,6.7,48.1
01331,松前町,10.1,27.7,62.2
01332,福島町,14.9,36.7,48.4
01333,知内町,26.5,26.8,46.7
01334,木古内町,10.3,24.5,65.2
01337,七飯町,9.6,19.7,70.7
01343,鹿部町,33.3,25.5,41.2
01345,森町,22.1,29.8,48.0
01346,八雲町,19.8,22.3,57.9
01347,長万部町,19.4,26.4,54.2
01361,江差町,8.5,17.6,73.9
01362,上ノ国町,17.2,28.1,54.7
01363,厚沢部町,32.4,17.0,50.6
01364,乙部町,10.3,29.4,60.3
01367,奥尻町,10.8,12.7,76.5
01370,今金町,27.9,13.6,58.5
01371,せたな町,25.2,14.8,60.0
01391,島牧村,21.7,12.7,65.6
01392,寿都町,10.5,23.3,66.2
01393,黒松内町,13.2,16.1,70.7
01394,蘭越町,25.4,15.3,59.3
01395,ニセコ町,17.0,14.8,68.2
01396,真狩村,39.6,7.6,52.8
01397,留寿都村,28.6,7.5,63.9
01398,喜茂別町,22.8,12.5,64.7
01399,京極町,19.7,21.8,58.5
01400,倶知安町,8.4,11.8,79.8
01401,共和町,24.6,20.8,54.6
01402,岩内町,3.2,31.4,65.4
01403,泊村,8.9,15.2,75.9
01404,神恵内村,14.3,11.8,73.9
01405,積丹町,29.3,12.5,58.2
01406,古平町,14.6,27.0,58.4
01407,仁木町,48.6,7.9,43.4
01408,余市町,17.3,14.9,67.8
01409,赤井川村,29.1,15.4,55.4
01423,南幌町,17.9,17.9,64.3
01424,奈井江町,16.1,29.5,54.4
01425,上砂川町,1.9,27.5,70.6
01427,由仁町,35.9,16.8,47.3
01428,長沼町,31.5,13.1,55.4
01429,栗山町,20.6,21.4,58.1
01430,月形町,31.3,10.8,57.9
01431,浦臼町,48.4,10.5,41.1
01432,新十津川町,25.0,14.0,61.0
01433,妹背牛町,34.9,18.8,46.3
01434,秩父別町,34.4,11.4,54.2
01436,雨竜町,38.9,9.5,51.6
01437,北竜町,46.3,9.1,44.7
01438,沼田町,30.4,13.2,56.5
01452,鷹栖町,17.3,13.3,69.4
01453,東神楽町,12.1,15.6,72.3
01454,当麻町,27.5,15.3,57.2
01455,比布町,26.7,13.8,59.4
01456,愛別町,30.1,14.7,55.1
01457,上川町,11.7,11.9,76.4
01458,東川町,16.9,17.1,66.0
01459,美瑛町,31.1,9.8,59.1
01460,上富良野町,17.7,10.6,71.7
01461,中富良野町,39.7,8.8,51.5
01462,南富良野町,20.9,16.6,62.5
01463,占冠村,7.9,7.4,84.7
01464,和寒町,33.5,13.4,53.0
01465,剣淵町,40.8,10.4,48.8
01468,下川町,26.2,18.5,55.3
01469,美深町,23.7,11.7,64.6
01470,音威子府村,14.3,11.7,73.9
01471,中川町,17.5,27.3,55.2
01472,幌加内町,31.6,10.5,57.9
01481,増毛町,21.1,24.7,54.3
01482,小平町,33.0,14.1,52.9
01483,苫前町,37.4,15.6,47.0
01484,羽幌町,20.7,12.7,66.5
01485,初山別村,33.2,11.1,55.6
01486,遠別町,31.3,16.4,52.3
01487,天塩町,23.3,16.5,60.1
01511,猿払村,32.6,25.4,42.1
01512,浜頓別町,19.5,21.8,58.7
01513,中頓別町,15.4,12.7,71.9
01514,枝幸町,26.5,22.0,51.4
01516,豊富町,22.9,21.0,56.1
01517,礼文町,36.7,12.9,50.4
01518,利尻町,30.4,11.4,58.1
01519,利尻富士町,27.1,16.7,56.2
01520,幌延町,19.9,23.2,56.9
01543,美幌町,15.8,19.3,64.9
01544,津別町,25.0,21.9,53.0
01545,斜里町,22.7,16.8,60.5
01546,清里町,38.2,11.4,50.4
01547,小清水町,41.7,10.4,47.9
01549,訓子府町,39.4,13.0,47.6
01550,置戸町,30.1,10.2,59.7
01552,佐呂間町,31.5,24.0,44.5
01555,遠軽町,7.4,17.3,75.3
01559,湧別町,33.9,19.2,46.9
01560,滝上町,22.9,15.6,61.5
01561,興部町,27.6,24.5,47.9
01562,西興部村,20.1,15.8,64.1
01563,雄武町,26.2,30.3,43.6
01564,大空町,39.3,10.4,50.4
01571,豊浦町,26.5,11.1,62.4
01575,壮瞥町,25.7,8.6,65.6
01578,白老町,9.9,26.2,64.0
01581,厚真町,33.3,14.1,52.6
01584,洞爺湖町,14.2,13.5,72.3
01585,安平町,25.2,17.8,57.0
01586,むかわ町,32.3,16.9,50.7
01601,日高町,33.1,11.9,55.0
01602,平取町,33.9,15.1,51.1
01604,新冠町,36.0,15.7,48.3
01607,浦河町,25.6,11.3,63.1
01608,様似町,28.8,19.3,51.9
01609,えりも町,47.6,9.6,42.7
01610,新ひだか町,21.8,13.5,64.7
01631,音更町,12.2,19.2,68.6
01632,士幌町,43.2,11.7,45.1
01633,上士幌町,34.8,11.9,53.3
01634,鹿追町,35.7,6.5,57.8
01635,新得町,20.6,14.8,64.5
01636,清水町,29.2,18.0,52.9
01637,芽室町,23.2,17.5,59.3
