"name","wkt"
"コメダ珈琲店野々市矢作店","POINT (136.612765 36.520989)"
"軽食喫茶 ヒロ","POINT (136.7881317 35.5014689)"
"クレープ&パンケーキ Rhapsody藤沢","POINT (139.4866692 35.3351458)"
"ブラジリアン","POINT (135.198595 34.22709)"
"スターバックス","POINT (130.417719 33.619637)"
"珈琲 ブラジル館","POINT (139.6872912 35.6909819)"
"Smart Coffee","POINT (135.767181 35.009477)"
"スターバックス","POINT (135.182536 34.188673)"
"pâtisserie Toriko","POINT (142.469111 43.5854816)"
"白い絵本","POINT (135.6165834 34.5793248)"
"ドトールコーヒーショップ 妙蓮寺店","POINT (139.632942 35.498496)"
"クーロンヌ Ja","POINT (140.1966432 36.0587898)"
"Little flower coffee","POINT (137.1022778 35.226647)"
"珈琲喫茶 ほっと","POINT (134.9439841 34.6968878)"
"cafefua","POINT (140.5589104 38.1085264)"
"青猫","POINT (134.088556 34.347599)"
"ペーパームーン","POINT (133.178881 34.285387)"
"コメダ珈琲店金沢高柳店","POINT (136.662871 36.592526)"
"維納倶楽部 アピタ前店","POINT (136.874405 35.355622)"
"コメダ珈琲店米子弓ヶ浜店","POINT (133.263436 35.497624)"
"廚 otona くろぎ","POINT (139.773062 35.706933)"
"珈琲館小岩北口店","POINT (139.881602 35.730496)"
"Rally's Craft Beer and Coffee Guest House","POINT (135.5148071 34.6735572)"
"おりえんす珈琲","POINT (139.1166772 35.3122699)"
"Kuriya Coffee Roasters","POINT (140.6558883 38.1971548)"
"辻利京都店","POINT (135.772857 35.003926)"
"神谷珈琲店","POINT (139.731155 35.76732)"
"滋養ごはんと季節の甘味　星ノ杜","POINT (142.3894197 43.7679033)"
"アリユメ","POINT (130.300442 33.253159)"
"モンピジョン","POINT (137.846413 36.685917)"
"星乃珈琲店相模原清新店","POINT (139.360793 35.579581)"
"かまくら屋珈琲","POINT (136.983803 35.07421)"
"ドトールコーヒーショップ","POINT (139.47298 35.78618)"
"Taro's Coffee Roastery","POINT (139.418613 35.700089)"
"三日月堂珈琲","POINT (131.571541 34.057407)"
"ココ・メルシーメディアドーム前店","POINT (130.884522 33.871751)"
"雑貨と珈琲の店　和（なごみ）","POINT (138.7627383 35.4889048)"
"コーヒーショップマインツ","POINT (139.718822 35.519483)"
"Yahito coffee","POINT (137.4211884 34.7773247)"
"Donq","POINT (136.647308 36.578395)"
"コーヒー専科小島屋","POINT (139.639145 35.445972)"
"珈琲苑","POINT (140.5169278 42.9833585)"
"スターバックス","POINT (136.881315 36.689394)"
"Greenberry's Coffee Japan","POINT (135.5459569 34.7005406)"
"水出しコーヒーFussa","POINT (140.358424 35.863081)"
"コメダ珈琲店 イオンモール和歌山店","POINT (135.149096 34.277164)"
"Starbucks","POINT (137.97829 36.23378)"
"Akimoto Coffee Roasters","POINT (139.3758738 36.1450227)"
"Tully's Coffee","POINT (140.235682 35.982857)"
"たかなわ 医薬大前店","POINT (137.1438725 36.6885372)"
"珈琲空間","POINT (135.483224 34.719263)"
"Circle Coffee","POINT (135.102719 35.310778)"
"銚子屋","POINT (139.884843 35.738259)"
"但馬屋珈琲店新宿南口店","POINT (139.697529 35.687766)"
"三井寺弁慶力餅","POINT (135.8533553 35.0111597)"
"ドトールコーヒーショップ ビバモール甲斐敷島店","POINT (138.534752 35.679329)"
"ピットイン","POINT (139.7315848 36.8532886)"
"cafeFuu","POINT (139.7336161 35.7200367)"
"アポニー","POINT (133.000231 34.067921)"
"Brio Caffe","POINT (136.5306026 34.8741284)"
"角砂糖","POINT (135.7488728 34.6473664)"
"自家焙煎珈琲豆　サニム","POINT (139.7041194 35.2301435)"
"小川フェニックス","POINT (139.40712 35.527079)"
"KALDI COFFEE FARM","POINT (139.631317 35.457132)"
"Kenko Coffee","POINT (139.565883 35.641205)"
"クリエ","POINT (137.146352 36.695372)"
"USHIO STUDIO & COFFEE","POINT (138.8572768 35.0842926)"
"茶房元","POINT (130.555562 31.59238)"
"ゆらぎ-yuragi-","POINT (136.9112591 34.858664)"
"THE COFFEE INTERACTION","POINT (139.4414172 35.3359387)"
"Piano Piano","POINT (138.1589341 36.5931946)"
"俺の巴里","POINT (138.576968 35.644082)"
"羅針盤","POINT (141.156147 39.700414)"
"ドトールコーヒーショップ 室蘭店","POINT (141.009489 42.350693)"
"K.Base Roastery Lab.","POINT (139.5721471 35.6392928)"
"Drip & Drop Coffee Supply Takoyakushi","POINT (135.7685467 35.0059589)"
"むさしの森珈琲東大和店","POINT (139.438859 35.746704)"
"Tully's Coffee","POINT (139.61777 36.07098)"
"サンワ喫茶店","POINT (134.2818287 34.5471872)"
"BECK'S COFFEE SHOP","POINT (139.9854019 35.7016824)"
"珈琲さんぽ","POINT (135.820285 34.471482)"
"Byron Bay Coffee Company","POINT (139.775559 35.6864476)"
"支留比亜珈琲谷口店","POINT (136.9527305 35.1842259)"
"茶々の助珈琲","POINT (131.0220038 31.8150334)"
"珈琲鳴館府中宮町店","POINT (139.481795 35.670196)"
"富久栄珈琲うすい店","POINT (140.384469 37.396591)"
"こめじるし","POINT (132.5174403 34.8552739)"
"コメダ珈琲店 しんしろ店","POINT (137.494866 34.905881)"
"KAKAMIGAHARA STAND","POINT (136.845333 35.4018845)"
"ドトールコーヒーショップ 和光市駅前店","POINT (139.612382 35.787406)"
"RAFT","POINT (139.7932719 35.7178098)"
"Cafe 海咲","POINT (129.5324503 33.1386583)"
"伊藤珈琲店","POINT (137.22781 34.824383)"
"タリーズコーヒー 上田大屋店","POINT (138.297057 36.370389)"
"生豆よりお好みに焙煎『周防コーヒーファクトリー』","POINT (131.8048614 34.0603615)"
"珈琲おーるど","POINT (139.667344 35.655615)"
"アッピア","POINT (134.863279 34.935833)"
"Cord Cafe","POINT (136.6681248 35.0430855)"
"THE SMOKIST COFFEE 神田須田町店","POINT (139.770381 35.694453)"
"ミンユン","POINT (135.732791 34.701069)"
"カルディ コーヒーファーム ニッケパークタウン加古川店","POINT (134.834959 34.771011)"
"Starbucks","POINT (137.6507 34.69658)"
"＋84 Coffee","POINT (135.5515913 34.6306184)"
"スターバックス","POINT (135.528381 34.819366)"
"カネサ珈琲","POINT (140.984501 43.182728)"
"D‐51","POINT (136.918355 35.128285)"
"オニヴァ珈琲","POINT (136.541051 34.6340171)"
"スターバックス","POINT (141.134279 39.668277)"
"コメダ珈琲店浦和松木店","POINT (139.687905 35.883598)"
"茶楽人","POINT (138.991564 36.342866)"
"ドトールコーヒーショップ 八戸ハートビル店","POINT (141.490169 40.509071)"
"三丁目のコーヒー屋","POINT (139.6977472 35.6383694)"
"元町珈琲磐田見付の離れ","POINT (137.862482 34.727462)"
"ほどほど","POINT (137.414618 35.453744)"
"Glaubell Coffee  グラウベルコーヒー","POINT (139.6602961 35.6586223)"
"PORTWAY COFFEE","POINT (139.977877 35.862765)"
"TEA GATE COFFEE","POINT (139.7136256 35.6463879)"
"あかね珈琲館","POINT (130.5413 31.545913)"
"タリーズ宝塚駅構内店","POINT (135.3413383 34.8103367)"
"トゥルービル珈琲館","POINT (136.996794 35.175087)"
"神戸珈琲物語名谷店","POINT (135.094191 34.679429)"
"コメダ珈琲店春日部店","POINT (139.750244 35.971612)"
"BECK'S COFFEE SHOP","POINT (140.476505 36.370898)"
"山田家珈房","POINT (136.883002 35.340271)"
"バーミキュラビレッジ","POINT (136.877803 35.150896)"
"神戸風月堂本店 2Fレストラン","POINT (135.186013 34.687841)"
"珈琲焙煎工房 豆玄","POINT (138.5014431 36.3146319)"
"ドルチェ","POINT (139.962502 36.307871)"
"Starbucks","POINT (139.54092 36.25199)"
"Albert Coffee Roasters","POINT (136.8824641 35.215915)"
"くつわ堂宗家西店","POINT (134.015654 34.348145)"
"深大寺カフェ","POINT (139.5476042 35.6622804)"
"Tully's Coffee Tatebayashi","POINT (139.5691686 36.2418411)"
"セイユウ","POINT (133.059381 35.463444)"
"Cafe Piano piano カフェ・ピアーノ・ピアーノ","POINT (141.6981433 43.0080931)"
"喫茶サントス","POINT (134.0734531 34.2990425)"
"星乃珈琲店","POINT (134.200057 35.520887)"
"泉","POINT (139.595793 35.426068)"
"スターバックス","POINT (139.676765 35.508053)"
"喫茶なつめ","POINT (131.504496 33.278252)"
"珈琲館柏店","POINT (139.9656 35.865424)"
"モンシェリー","POINT (135.495604 34.705847)"
"逸珈琲","POINT (134.071058 34.304844)"
"ALOHA coffee","POINT (136.988239 35.260602)"
"スターバックス","POINT (139.328005 35.743205)"
"West Coast","POINT (136.6524677 36.5635966)"
"スターバックス","POINT (139.933314 35.818875)"
"支留比亜珈琲米野店","POINT (136.879011 35.163915)"
"スターバックスコーヒーイオンモール甲府昭和店","POINT (138.1965734 36.0228623)"
"Godiva","POINT (139.970443 35.863211)"
"支留比亜珈琲店栄町店","POINT (136.924583 34.886629)"
"Coffee Wrights","POINT (139.6705828 35.641715)"
"コロラド八丁堀店","POINT (139.776634 35.674949)"
"MURRMA COFFEE STOP","POINT (139.6836144 35.6829822)"
"宍戸珈琲 (横須賀)","POINT (139.671236 35.269733)"
"コメダ珈琲店大府名高山店","POINT (136.970642 35.034402)"
"ChanQ Coffee ちゃんく","POINT (139.542843 35.746125)"
"珈琲館チロル","POINT (136.9561169 35.7488464)"
"香林坊ラモーダ","POINT (136.653516 36.564104)"
"Navy coffee roaster","POINT (134.9478149 34.6700645)"
"Cafe Soaproot","POINT (130.1953328 32.0227281)"
"hato coffee","POINT (141.344029 43.093853)"
"ドトールコーヒーショップ 日本橋本町3丁目店","POINT (139.773058 35.689881)"
"ドトールコーヒーショップ 小田原東口店","POINT (139.157833 35.255453)"
"トミー","POINT (136.488056 35.012672)"
"西村珈琲株式会社","POINT (136.2202675 36.0881772)"
"たかさわ珈琲店","POINT (137.1197109 36.7017542)"
"COFFEEHOUSEとむとむ 龍ヶ崎店","POINT (140.19523 35.937682)"
"廣屋珈琲店","POINT (135.4641683 34.8178855)"
"亀屋","POINT (137.163632 34.958347)"
"ウッドノート","POINT (135.785922 35.042031)"
"コメダ珈琲店熊本桜木店","POINT (130.780611 32.790046)"
"アポロ","POINT (135.173963 34.230706)"
"パンとエスプレッソと自由形","POINT (139.668096 35.609053)"
"ヨコハマ","POINT (140.7893 40.190544)"
"珈琲豆専門店 コピ・ルアック","POINT (139.807577 35.828322)"
"nicori 貸しギャラリーとコーヒーの店","POINT (138.3849526 34.9556937)"
"widows records","POINT (138.191495 36.64006)"
"ハナウタコーヒー","POINT (130.5893292 33.8041433)"
"Finder Coffee","POINT (139.0397121 37.9204012)"
"カフェ・ブラジレイロ","POINT (130.410234 33.596541)"
"高倉町珈琲 名古屋北店","POINT (136.9183578 35.20003)"
"ニシナ屋珈琲 千本丸太町焙煎所","POINT (135.745314 35.017584)"
"Toastcoffeeroaster","POINT (131.5311603 33.2093635)"
"ドトールコーヒーショップ 神戸大学病院店","POINT (135.172023 34.685352)"
"珈琲店みまつ","POINT (131.605512 33.235993)"
"すぎ茶屋福渡本店","POINT (133.9058536 34.8887869)"
"スターバックス","POINT (139.428494 35.796596)"
"Tsuitachi Coffee & TEA","POINT (130.2994911 33.2574587)"
"障害者支援frais&cafe雑貨ろーずまりー","POINT (131.440929 31.907503)"
"ベローチェ 新宿五丁目店","POINT (139.706348 35.694026)"
"Clamp Coffee Sarasa","POINT (135.7456436 35.0113639)"
"COFFEE PORT heim","POINT (139.007286 36.325807)"
"自家焙煎珈琲MochaMocha","POINT (137.1408338 35.0478318)"
"ろば珈琲","POINT (140.34693 38.235492)"
"ビリオン珈琲 アピタ福井大和田店","POINT (136.250749 36.096607)"
"Starbucks","POINT (140.64511 36.58967)"
"SobaCafe301（そばカフェさんまるいち）","POINT (140.1537466 35.7298615)"
"喫茶 向日葵","POINT (133.725086 34.529292)"
"ドトールコーヒーショップ 大垣アピオ店","POINT (136.617781 35.366888)"
"Bois Cafe","POINT (139.798464 35.682437)"
"Cedar Coffee Co. Niseko","POINT (140.7062588 42.846933)"
"こーひー豆処　うま珈","POINT (136.9967684 35.0507878)"
"コメダ珈琲店","POINT (135.174097 34.665727)"
"カフェダイニング クロロッポ","POINT (139.5757018 35.6616552)"
"むさしの森珈琲国立富士見台店","POINT (139.447136 35.68444)"
"スターバックス","POINT (141.098714 39.7116)"
"ロッキード","POINT (139.841835 36.371864)"
"JAL Sakura Lounge Haneda Airport South Wing","POINT (139.7845185 35.5478267)"
"園林","POINT (138.425283 35.37686)"
"Excelsior Cafe Ichigaya Eki","POINT (139.735945 35.690489)"
"石田珈琲店","POINT (141.3472411 43.0797067)"
"コメダ珈琲岐阜大学前店","POINT (136.731335 35.462317)"
"フェアリーテール1902","POINT (139.0643213 36.3902839)"
"コーヒーショップサン","POINT (139.652169 35.281722)"
"珈琲館 シャガァル","POINT (139.478139 35.672147)"
"すなば珈琲","POINT (133.396762 35.434104)"
"ドトールコーヒーショップ","POINT (139.287442 35.730662)"
"米粉パン専門店Cafeまごころ米て","POINT (137.1832196 35.3371175)"
"緑の豆　神楽坂焙煎所","POINT (139.7326897 35.7075308)"
"シルク","POINT (139.797608 35.712293)"
"宵待屋珈琲店","POINT (139.6214669 35.7036986)"
"菊地珈琲喫茶コンサルタント部","POINT (141.326367 43.059345)"
"ヒビコレコーヒーロースタリー","POINT (133.8384748 35.4330048)"
"さ房 むらっぺ","POINT (134.0256727 34.2832516)"
"伽羅","POINT (130.803121 33.614655)"
"珈琲丹","POINT (141.3343906 43.0569654)"
"sono58","POINT (135.6987892 35.1531853)"
"Cafe Lehua","POINT (139.450161 36.333837)"
"やなか珈琲店芝大門店","POINT (139.752823 35.654619)"
"珈琲専門店廣","POINT (135.531815 34.673679)"
"Starbucks","POINT (139.97072 35.86256)"
"コメダ珈琲店伊那ナイスロード店","POINT (137.964539 35.829339)"
"和蘭豆","POINT (139.760183 35.670179)"
"ポート","POINT (136.712628 35.407969)"
"安座間珈琲","POINT (127.799615 26.301027)"
"Starbucks","POINT (139.48382 35.92367)"
"whitebird coffee stand","POINT (135.5017396 34.6984099)"
"スターバックス","POINT (139.772075 35.667972)"
